No errors
No warnings
91 ms
data source=metars
4980 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYPH 031943Z AUTO 08004KT 9SM -SN OVC004 M10/M11 A3007 RMK SLP188,CYPH,2024-02-03T19:43:00Z,58.47,-78.08,-10,-11,80,4,,9,30.07,1018.8,,TRUE,,,,,,,-SN,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,24
PAPM 031942Z AUTO 08031G37KT 2 1/2SM UP BR OVC022 M06/M07 A2947 RMK AO2 PK WND 08038/1927 VIS 1 3/4V4 UPB20SNE07 P0000 FZRANO,PAPM,2024-02-03T19:42:00Z,59.011,-161.82,-6,-7,80,31,37,2.5,29.47,,,TRUE,TRUE,,,,TRUE,,BR UP,OVC,2200,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,4
KSUE 031942Z AUTO 32003KT 10SM FEW014 03/M01 A3013 RMK AO2,KSUE,2024-02-03T19:42:00Z,44.847,-87.425,3,-1,320,3,,10+,30.13,,,TRUE,TRUE,,,,,,,FEW,1400,,,,,,,VFR,,,,,,,,,,,,SPECI,215
KCTB 031942Z AUTO 35018G24KT 9SM BKN010 OVC023 03/02 A2973 RMK AO2 RAE1857 CIG 008V015 P0000 T00330022,KCTB,2024-02-03T19:42:00Z,48.6036,-112.377,3.3,2.2,350,18,24,9,29.73,,,TRUE,TRUE,,,,,,,BKN,1000,OVC,2300,,,,,MVFR,,,,,,0.005,,,,,,SPECI,1172
CYYG 031942Z 01023G33KT 1/4SM SN BLSN VV008 M04/M06 A2980 RMK BLSN8 SLP097,CYYG,2024-02-03T19:42:00Z,46.289,-63.128,-4,-6,10,23,33,0.25,29.80,1009.7,,,,,,,,,SN BLSN,OVX,0,,,,,,,LIFR,,,,,,,,,,,800,SPECI,48
CYPX 031942Z AUTO 12008KT 9SM M17/M19 A3010 RMK CLD MISG SLP199,CYPX,2024-02-03T19:42:00Z,60.045,-77.281,-17,-19,120,8,,9,30.10,1019.9,,TRUE,,,,,,,,,,,,,,,,VFR,,,,,,,,,,,,SPECI,10
CYIV 031942Z AUTO 18005KT 5SM BR OVC002 M00/M01 A2989 RMK SLP139,CYIV,2024-02-03T19:42:00Z,53.857,-94.655,0,-1,180,5,,5,29.89,1013.9,,TRUE,,,,,,,BR,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,234
PAKW 031941Z AUTO 00000KT 2 1/2SM -SN BR OVC020 01/M01 A3018 RMK AO2 P0000 T00061006 TSNO $,PAKW,2024-02-03T19:41:00Z,55.582,-133.075,0.6,-0.6,0,0,,2.5,30.18,,,TRUE,TRUE,TRUE,,TRUE,,,-SN BR,OVC,2000,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,7
PAIG 031941Z AUTO 06013G17KT 5SM -SN BR BKN021 BKN027 OVC033 M07/M09 A2977 RMK AO2 SNB15 P0000 FZRANO,PAIG,2024-02-03T19:41:00Z,59.325,-155.897,-7,-9,60,13,17,5,29.77,,,TRUE,TRUE,,,,TRUE,,-SN BR,BKN,2100,BKN,2700,OVC,3300,,,MVFR,,,,,,0.005,,,,,,SPECI,24
PAHL 031941Z AUTO 35005KT 8SM CLR M42/ A3026 RMK AO2 FZRANO,PAHL,2024-02-03T19:41:00Z,65.699,-156.353,-42,,350,5,,8,30.26,,,TRUE,TRUE,,,,TRUE,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,49
KHDN 031941Z AUTO 27019KT 2 1/2SM -SN BR BKN004 BKN029 OVC039 M02/M02 A2967 RMK AO2 VIS 1 3/4V3 CIG 003V010 P0000 FZRANO,KHDN,2024-02-03T19:41:00Z,40.4842,-107.23,-2,-2,270,19,,2.5,29.67,,,TRUE,TRUE,,,,TRUE,,-SN BR,BKN,400,BKN,2900,OVC,3900,,,LIFR,,,,,,0.005,,,,,,SPECI,2012
KDVL 031941Z AUTO 16010KT 4SM BR OVC003 02/01 A2990 RMK AO2 FZRANO,KDVL,2024-02-03T19:41:00Z,48.1136,-98.9034,2,1,160,10,,4,29.90,,,TRUE,TRUE,,,,TRUE,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,439
KDTN 031941Z 12012KT 10SM -RA FEW007 SCT060 OVC080 12/11 A2964 RMK AO2 P0006 T01220106,KDTN,2024-02-03T19:41:00Z,32.5429,-93.745,12.2,10.6,120,12,,10+,29.64,,,,TRUE,,,,,,-RA,FEW,700,SCT,6000,OVC,8000,,,VFR,,,,,,0.06,,,,,,SPECI,53
KARA 031941Z 06008KT 8SM -RA SCT008 BKN012 OVC032 15/14 A2955 RMK AO2 LTG DSNT E AND SE P0002 T01500139,KARA,2024-02-03T19:41:00Z,30.0292,-91.8845,15,13.9,60,8,,8,29.55,,,,TRUE,,,,,,-RA,SCT,800,BKN,1200,OVC,3200,,,MVFR,,,,,,0.02,,,,,,SPECI,5
CYDL 031941Z AUTO 25003KT 9SM -SN OVC076 M12/M14 A2992 RMK SLP183,CYDL,2024-02-03T19:41:00Z,58.426,-130.025,-12,-14,250,3,,9,29.92,1018.3,,TRUE,,,,,,,-SN,OVC,7600,,,,,,,VFR,,,,,,,,,,,,SPECI,804
PKWA 031940Z AUTO 07015KT 10SM SCT017 SCT022 SCT027 A2992 RMK AO2 TSNO,PKWA,2024-02-03T19:40:00Z,8.72,167.724,,,70,15,,10+,29.92,,,TRUE,TRUE,,,TRUE,,,,SCT,1700,SCT,2200,SCT,2700,,,VFR,,,,,,,,,,,,METAR,6
KVOA 031940Z AUTO 12025KT 10SM SCT070 BKN080 19/13 A2977 RMK A01,KVOA,2024-02-03T19:40:00Z,29.229,-87.781,19,13,120,25,,10+,29.77,,,TRUE,TRUE,,,,,,,SCT,7000,BKN,8000,,,,,VFR,,,,,,,,,,,,METAR,53
KUNU 031940Z AUTO 12006KT 10SM CLR 05/01 A3010 RMK AO2 T00450011,KUNU,2024-02-03T19:40:00Z,43.4285,-88.7017,4.5,1.1,120,6,,10+,30.10,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,281
KSEM 031940Z AUTO 09010KT 060V120 10SM CLR 20/07 A2982 RMK AO2,KSEM,2024-02-03T19:40:00Z,32.3367,-86.9836,20,7,90,10,,10+,29.82,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,48
KSAR 031940Z AUTO 09010G14KT 10SM CLR 13/04 A2991 RMK AO2,KSAR,2024-02-03T19:40:00Z,38.1463,-89.7025,13,4,90,10,14,10+,29.91,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,162
KQFX 031940Z AUTO 00000KT 6000 OVC034 02/00 A3029 RMK A02 TSNO,KQFX,2024-02-03T19:40:00Z,-99.99,-99.99,2,0,0,0,,3.73,30.29,,,TRUE,TRUE,,,TRUE,,,,OVC,3400,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
